"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"-- Not Selected --","-- ಆರಿಸಿಲ್ಲ --"
"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"-- Please Select a Category --","--ದಯವಿಟ್ಟು ವಿಭಾಗವೊಂದನ್ನು ಆರಿಸಿ--"
"-- Please select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"--Please Select--","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"1 Hour","1 ಗಂಟೆ"
"12 Hours","12 ಗಂಟೆಗಳು"
"2 Hours","2 ಗಂಟೆಗಳು"
"24 Hours","24 ಗಂಟೆಗಳು"
"6 Hours","6 ಗಂಟೆಗಳು"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 ದೋಷ</h1><p>ಪುಟ ಕಂಡುಬಂದಿಲ್ಲ.</p>"
"A user with the same user name or email already exists.","ಇದೇ ಬಳಕೆದಾರರ ಹೆಸರು ಅಥವಾ ಮಿಂಚೆಯೊಂದಿಗಿನ ಬಳಕೆದಾರರು ಈಗಾಗಲೇ ಅಸ್ತಿತ್ವದಲ್ಲಿದ್ದಾರೆ."
"API Key","API ಕೀ"
"ASCII","ಆಸ್ಕಿ"
"About the calendar","ದಿನದರ್ಶಿಕೆ ಬಗ್ಗೆ"
"Account Created in:","ಇಲ್ಲಿ ಖಾತೆ ರಚನೆಯಾಗಿದೆ:"
"Account Information","ಖಾತೆಯ ಮಾಹಿತಿ"
"Account Status","ಖಾತೆಯ ಸ್ಥಿತಿ"
"Action","ಕ್ರಿಯೆ"
"Actions","ಕ್ರಿಯೆಗಳು"
"Active","ಸಕ್ರಿಯ"
"Add","ಸೇರಿಸಿ"
"Add New","ಹೊಸದನ್ನು ಸೇರಿಸಿ"
"Add New Block","ಹೊಸ ಬ್ಲಾಕನ್ನು ಸೇರಿಸಿ"
"Add New Image","ಹೊಸ ಚಿತ್ರಗಳನ್ನು ಸೇರಿಸಿ"
"Add New Role","ಹೊಸ ಹುದ್ದೆಯನ್ನು ಸೇರಿಸಿ"
"Add New Template","ಹೊಸ ಮಾದರಿಯನ್ನು ಸೇರಿಸಿ"
"Add New User","ಹೊಸ ಬಳಕೆದಾರರನ್ನು ಸೇರಿಸಿ"
"Add Products","ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Add after","ನಂತರ ಸೇರಿಸಿ"
"Admin","ನಿರ್ವಾಹಕ"
"All","ಎಲ್ಲಾ"
"All Allowed Countries","ಎಲ್ಲಾ ಅನುಮತಿಸಿರುವ ದೇಶಗಳು"
"All Files","ಎಲ್ಲಾ ಕಡತಗಳು"
"All Reviews","ಎಲ್ಲಾ ವಿಮರ್ಶೆಗಳು"
"All Store Views","ಎಲ್ಲಾ ಮಳಿಗೆಗಳ ನೋಟಗಳು"
"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"All countries","ಎಲ್ಲಾ ದೇಶಗಳು"
"Amounts","ಮೊತ್ತಗಳು"
"An error occurred while deleting this role.","ಹುದ್ದೆಯನ್ನು ಅಳಿಸುವಾಗ ಒಂದು ದೋಷ ಎದುರಾಗಿದೆ."
"An error occurred while saving account.","ಖಾತೆಯನ್ನು ಉಳಿಸುವಾಗ ಒಂದು ದೋಷ ಕಂಡು ಬಂದಿದೆ."
"An error occurred while saving this role.","ಈ ಹುದ್ದೆಯನ್ನು ಉಳಿಸುವಾಗ ಒಂದು ದೋಷ ಎದುರಾಗಿದೆ."
"Any","ಯಾವುದೇ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Assigned","ವಹಿಸಲಾಗಿದೆ"
"Attributes","ಗುಣವಿಶೇಷಗಳು"
"Authorize","ದೃಢೀಕರಿಸಿ"
"Back","ಹಿಂದೆ"
"Backup","ಬ್ಯಾಕಪ್‍"
"Backup Name","ಬ್ಯಾಕಪ್ ಹೆಸರು"
"Backup options","ಬ್ಯಾಕಪ್ ಆಯ್ಕೆಗಳು"
"Backups","ಬ್ಯಾಕಪ್‍ಗಳು"
"Bestsellers","ಅತಿಹೆಚ್ಚು ಮಾರಾಟವಾಗುವ"
"Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ"
"Billing Address: ","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ: "
"Billing Agreement","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ"
"Billing Agreements","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳು"
"Block Information","ಬ್ಲಾಕ್ ಮಾಹಿತಿ"
"Blocks","ಬ್ಲಾಕ್‍ಗಳು"
"Both (without and with tax)","ಎರಡೂ (ತೆರಿಗೆ ಸಹಿತ ಮತ್ತು ರಹಿತ)"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Cannot add new comment.","ಹೊಸ ಅಭಿಪ್ರಾಯವನ್ನು ಸೇರಿಸಲಾಗುವುದಿಲ್ಲ."
"Card Verification Number","ಕಾರ್ಡಿನ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆ"
"Categories","ವಿಭಾಗಗಳು"
"Category","ವಿಭಾಗ"
"Category:","ವಿಭಾಗ:"
"Choose Store View:","ಮಳಿಗೆ ನೋಟ ವೀಕ್ಷಿಸಿ:"
"Clear","ತೆರವುಗೊಳಿಸಿ"
"Close","ಮುಚ್ಚಿರಿ"
"Code","ಸಂಕೇತ"
"Complete","ಪೂರ್ಣಗೊಂಡಿದೆ"
"Configuration","ಸಂರಚನೆ"
