"Active","アクティブ"
"Add Attribute Mapping","マッピング属性追加」"
"Add New Attribute","新しい属性を追加"
"Add to Google Base","Google Baseの追加"
"Are you sure?","よろしいですか？"
"Attribute","属性"
"Attribute Set","属性セット"
"Attribute Set and Item Type","属性設定とアイテムタイプ"
"Attributes","属性"
"Attributes Set","属性設定"
"Available Products","利用できるプロダクト"
"Captcha confirmation error: %s","画像承認エラー: %s"
"Catalog","カタログ"
"Clicks","押下"
"ClientLogin","クライアントログイン"
"Confirm","承認"
"Current Mapping will be reloaded. Continue?","今のマッピングは再読込されます。 続けますか？"
"Custom attribute, no mapping","カスタム属性、マッピングできない"
"Delete","削除"
"Delete Mapping","マッピングの削除"
"Edit Item Type","アイテムタイプの編集"
"Edit Item Type ""%s""","編集アイテムタイプ ""%s"""
"Error: %s","エラー: %s"
"Expires","失効"
"Google Base","Googleベース"
"Google Base Attribute","Google Base属性"
"Google Base Item Type","Google Base アイテムタイプ"
"Google Base Item type","Google Base アイテムタイプ"
"Google Base Items","Googleベースアイテム"
"Hide","非表示"
"Invalid Product Model for Google Base Item","Google Base アイテムの無効な製品"
"Item Type was deleted","アイテム型は削除されました"
"Item Types","アイテムタイプ"
"Items","アイテム"
"Manage Attribute Mapping","マッピング属性の管理"
"Manage Attributes","属性管理"
"Manage Items","商品管理"
"New Item Type","ニューアイテムタイプ"
"No","いいえ"
"No items were deleted from Google Base","Google Baseからアイテムを削除できませんでした"
"No items were published","アイテムは表示できません"
"No products were added to Google Base","Google Baseに製品を追加できませんでした"
"Please, select Attribute Set and Google Item Type to load attributes","選択した属性セットとGoogleアイテムタイプをロード属性にしてください"
"Product Name","商品名"
"Publish","掲載"
"Published","表示された"
"Remove","削除"
"Save Mapping","マッピングの保存"
"Synchronize","同期"
"Target Country","対象国"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","この処理はGoogle Baseで使用しないアイテムを移動させアイテム数を更新します。続けますか？"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Google Baseに接続できません。アカウントの設定構成を確認してください。"
"View Available Products","表示有効な製品"
"View Item in Google Base","Google Baseの表示アイテム"
"Yes","はい"
