"# of Uses","# Kullanım Sayısı"
"Action","Eylem"
"Add","Ekle"
"Add New Tag","Etiket Ekle"
"Add Tags","Etiket Ekle"
"Add Your Tags:","Etiketlerinizi Ekleyin :"
"Add to Cart","Sepete Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"All Tags","Tüm Etiketler"
"Approved","Onaylandı"
"Are you sure you want to delete this tag?","Bu etiketi silmek istediğinizden emin misiniz ?"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Are you sure?","Emin misiniz?"
"Back","Geri"
"Back to Tags List","Etiket Listesine Dön"
"Block Information","Blok bilgi"
"CSV","Csv"
"Change status","Durumu Değiştir"
"Click on a tag to view your corresponding products.","Uygun ürünleri görmek için etikete tıklayın."
"Country","Ülke"
"Customer Since","Müşteri Geçmişi"
"Customers","Müşteriler"
"Customers Tagged '%s'","'%s' Müşteriler Etiketledi"
"Delete","Sil"
"Delete Tag","Etiketi Sil"
"Disabled","Kapalı"
"Edit Tag '%s'","Etiketi Düzenle '%s'"
"Email","E-posta"
"First Name","Adı"
"General Information","Genel Bilgi"
"Grid","Izgara"
"ID","No"
"Last Name","Soyadı"
"List","Liste"
"My Recent Tags","Önceki Etiketlerim"
"My Tags","Etiketlerim"
"Name","Adı"
"New Tag","Yeni Etiket"
"No matches found.","Eşleşme bulunamadı."
"Other people marked this product with these tags:","Diğer müşterilerimiz bu ürüne şu etiketleri koydular :"
"Pending","Bekliyor"
"Pending Tags","Bekleyen Etiketler"
"Popular","Popüler"
"Popular Tags","Popüler Etiketler"
"Price","Fiyat"
"Product Name","Ürün Adı"
"Product SKU","Ürün Kodu"
"Product Tags","Ürün Etiketleri"
"Products","Ürünler"
"Products Tagged with '%s'","'%s' ile etiketlenen ürünler"
"Products tagged with '%s'","'%s' ile etiketlenen ürünler"
"Remove","Kaldır"
"SKU","Ürün Kodu"
"Save Tag","Etiketi Kaydet"
"Save and Continue Edit","Kaydet ve Devam Et"
"Status","Durum"
"Store View","Mağaza Görünümü"
"Tag","Etiket"
"Tag Name","Etiket Adı"
"Tags","Etiketler"
"Tags:","Etiketler :"
"Telephone","Telefon"
"Unable to find any products tagged with '%s' in the current store","Bu mağazada '%s' ile etiketlenmiş ürün bulunamadı"
"Unable to remove tag. Please, try again later.","Etiket silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Update","Güncelle"
"Use spaces to separate tags. Use single quotes (') for phrases.","Etiketleri ayırmak için boşluk kullanınız. Deyim tipindeki etiketler için tekli tırnak (') kullanınız."
"View All Tags","Tüm Etiketleri Göster"
"View Customers","Müşterileri Göster"
"View Products","Ürünleri Göster"
"You have not tagged any products yet.","Hiç bir ürünü etiketlemediniz."
"ZIP/Post Code","ZIP/Posta Kodu"
"[STORE VIEW]","[MAĞAZA GÖRÜNÜMÜ]"
