"Add Your Review","Afegiu la vostra ressenya"
"All Reviews","Totes les ressenyes"
"Allow Guests to Write Reviews","Permetre als convidats escriure ressenyes"
"Are you sure you want to do this?","Esteu segur que voleu fer-ho?"
"Are you sure?","Segur?"
"Back","Torna"
"Back to My Reviews","Tornar a les meves ressenyes"
"Back to Product Reviews","Tornar a les ressenyes de productes"
"Be the first to review this product","Sigueu el primer a opinar sobre aquest producte"
"Customer","Client"
"Customer Reviews","Ressenyes de clients"
"Customers Reviews","Ressenyes de clients"
"Delete","Eliminar"
"Delete Review","Eliminar ressenya"
"Guest","Convidat"
"My Product Reviews","Les meves ressenyes de productes"
"My Recent Reviews","Les meves ressenyes recents"
"Name","Nom"
"New Review","Nova ressenya"
"Nickname","Sobrenom (àlies)"
"Pending Reviews","Ressenyes pendents"
"Price","Preu"
"Product","Producte"
"Product Name","Nom del producte"
"Product Reviews","Ressenyes de producte"
"Products Reviews","Ressenyes de productes"
"Qty","Quantitat"
"Review","Ressenya"
"Review Details","Revisar detalls"
"Reviews","Ressenyes"
"Save Review","Desar ressenya"
"Status","Estat"
"Submit Review","Enviar ressenya"
"Summary of Review","Resum de la ressenya"
"Title","Títol"
"Type","Tipus"
"View Details","Veure detalls"
"Write Your Own Review","Escriu la teva ressenya"
"You have submitted no reviews.","No heu enviat cap ressenya."
"You're reviewing:","Esteu revisant:"
