"Add Your Review","Añadir Su reseña"
"Administrator","Administrador"
"All Reviews","Todas las reseñas"
"Allow Guests to Write Reviews","Permite a sus clientes a escribir comentarios"
"Approved","Aprobado"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Are you sure?","¿Estás seguro?"
"Average Customer Rating","Revisión media de clientes"
"Average Customer Rating:","Valoración media de clientes:"
"Back","Volver"
"Back to Main Product Info","Volver a información principal del artículo"
"Back to My Reviews","Volver a mis reseñas"
"Back to Product Reviews","Volver a reseñas de productos"
"Be the first to review this product","Sea el primero en dejar una reseña para este artículo"
"Created On","Creado"
"Customer","Cliente"
"Customer Reviews","Reseñas de cliente"
"Customers Reviews","Reseñas de clientes"
"Delete","Eliminar"
"Delete Review","Eliminar reseñas"
"Detailed Rating","Valoración detallada"
"Guest","Invitado"
"ID","Número de Identificación (ID)"
"Manage Ratings","Administrar puntuaciones"
"My Product Reviews","Reseñas de mi artículo"
"My Recent Reviews","Mis reseñas recientes"
"Name","Nombre"
"New Review","Nueva revisión"
"Nickname","Apodo"
"Not Approved","No aprobado"
"Pending","Pendiente"
"Pending Reviews","Reseñas pendientes"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del Producto"
"Product Rating","Valoración de artículo"
"Product Rating:","Valoración de artículo:"
"Product Reviews","Reseñas de artículo"
"Products Reviews","Reseñas de artículos"
"Qty","Cantidad"
"Review","Reseña"
"Review Details","Detalles de reseña"
"Reviews","Reseñas"
"SKU","Art"
"Save Review","Guardar reseña"
"Status","Estado"
"Submit Review","Transmitir reseña del cliente"
"Summary Rating","Resumen de valoración"
"Summary of Review","Resumen de revisión"
"Title","Título"
"Type","Tipo"
"Update Status","Actualizar estado"
"View Details","Ver Detalles"
"Visible In","Visible en"
"Websites","Sitios web"
"Write Your Own Review","Escribir Su propia reseña"
"You have submitted no reviews.","No has enviado ninguna reseña."
"You're reviewing:","Estás revisando:"
