"* Required Fields","ข้อมูลที่จำเป็นต้องกรอก"
"Add All to Cart","เพิ่มทั้งหมดไปยังรถเข็น"
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Add to Compare","เพิ่มลงในการเปรียบเทียบ"
"Add to Wishlist","เพิ่มไปยังรายการโปรด"
"Added From","เพิ่มจาก"
"Are you sure you want to remove this product from your wishlist?","คุณแน่ใจว่าต้องการลบสินค้านี้ออกจาก Wishlist ของคุณ?"
"Are you sure you would like to remove this item from the wishlist?","คุณแน่ใจว่าต้องการลบรายการนี้ออกจาก Wishlist?"
"Back","ย้อนกลับ"
"Can't save description %s","ไม่สามารถบันทึกประเภทนี้ได้%s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","เลือกตัวเลือกนี้หากคุณต้องการเพิ่มลิงค์ไปยัง rss feed ไปยัง wishlist ของคุณ"
"Click for price","คลิกเพื่อดูราคา"
"Comment","คำแนะนำ"
"Date Added","วันที่เพิ่ม:"
"Days in Wishlist","วันใน Wishlist"
"Edit","แก้ไข"
"Email Sender","ผู้ส่งอีเมล"
"Email Template","เทมเพลตอีเมล"
"Email address can't be empty.","อีเมลล์ไม่ว่าง"
"Email addresses, separated by commas","อีเมลล์ แยกด้วยเครื่องหมายจุลภาค"
"Enabled","เปิดใช้งาน"
"General Options","ตัวเลือกทั่วไป"
"Go to Wishlist","ไปยัง Wishlist"
"In stock","มีสินค้า"
"Last Added Items","เพิ่ม รายการ ล่าสุด"
"Message","ข้อ​ความ"
"My Wishlist","Wishlist ของฉัน"
"My Wishlist (%d item)","Wishlist ของฉัน (%d รายการ)"
"My Wishlist (%d items)","Wishlist ของฉัน (%d รายการ)"
"Options Details","รายละเอียดตัวเลือก"
"Out of stock","สินค้าหมด"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","กรุณาใส่อีเมล์ที่ถูกต้องและแบ่งด้วยเครื่องหมายจุลภาค ตัวอย่างเช่น johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","กรุณาใส่ข้อความข้อคิดเห็นของคุณ..."
"Price","ราคา"
"Product","สินค้า"
"Qty","จำนวน"
"Remove Item","ลบรายการสินค้าออก"
"Remove This Item","ลบรายการสินค้านี้ออก"
"Remove item","ลบสินค้า"
"SKU","รหัสสินค้า"
"Share Wishlist","แชร์รายการโปรด"
"Share Your Wishlist","ใช้งานร่วมกันของ Wishlist ของคุณ"
"Sharing Information","กำลังแบ่งข้อมูล"
"Update Wishlist","ปรับปรุง Wishlist"
"View Details","ดูรายละเอียด"
"View Product","ดูสินค้า"
"What's this?","นี่คืออะไร?"
"Wishlist","รายการโปรด"
"Wishlist Sharing","ใช้ Wishlist ร่วมกัน"
"Wishlist is empty now.","Wishlist ตอนนี้ว่าง."
"You have no items in your wishlist.","คุณยังไม่มีรายการสินค้าใน wishlist ของคุณ"
