"%d Review(s)","%d Recensione(i)"
"%s Review(s)","%s Recensione(i)"
"(Posted on %s)","(pubblicato su %s)"
"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"Add New Review","Aggiungi nuova recensione"
"Add Your Review","Aggiungi la tua recensione"
"Administrator","Amministratore"
"All Reviews","Tutte le recensioni"
"Allow Guests to Write Reviews","Permetti agli ospiti di scrivere recensioni"
"Approved","Approvato"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Are you sure?","Sei sicuro?"
"Average Customer Rating","Valutazione media dei clienti"
"Average Customer Rating:","Valutazione media dei clienti:"
"Back","Indietro"
"Back to Main Product Info","Torna alle informazioni principali del prodotto"
"Back to My Reviews","Torna alle recensioni"
"Back to Product Reviews","Torna alle recensioni del prodotto"
"Be the first to review this product","Sii il primo a recensire questo prodotto"
"Created On","Creato su"
"Customer","Cliente"
"Customer Reviews","Recensioni dei clienti"
"Customers Reviews","Recensioni dei clienti"
"Delete","Elimina"
"Delete Review","Elimina recensione"
"Detailed Rating","Valutazione dettagliata"
"Edit Review '%s'","Modifica recensione'%s'"
"Guest","Ospite"
"How do you rate this product?","Come consideri questo prodotto?"
"My Product Reviews","Recensioni prodotto"
"My Recent Reviews","Le tue recensioni recenti"
"Name","Nome"
"New Review","Nuova recensione"
"Not Approved","Non approvato"
"Pending","In attesa"
"Pending Reviews","Recensioni in sospeso"
"Please select a product","Seleziona un prodotto"
"Please select one of each of the ratings above","Selezionare uno per ciascuna delle valutazioni qui sopra"
"Posted By","Pubblicato da"
"Price","Prezzo"
"Product","Prodotto"
"Product Name","Nome prodotto"
"Product Rating","Valutazione del prodotto"
"Product Rating:","Valutazione del prodotto:"
"Product Review (submitted on %s):","Recensione prodotto (inviata il %s):"
"Product Reviews","Recensioni prodotti"
"Product SKU","Prodotti SKU"
"Products Reviews","Recensioni prodotti"
"Qty","Qtà"
"Rating:","Votazione:"
"Review","Recensione"
"Review Details","Dettagli recensione"
"Review by %s","Recensito da <em>%s</em>"
"Reviews","Recensioni"
"Reviews and Ratings","Recensioni e votazioni"
"SKU","Cod.Art."
"Save Review","Salvare recensione"
"Status","Stato"
"Submit Review","Invia recensione"
"Summary Rating","Riepilogo valutazione"
"Summary of Review","Riepilogo recensione"
"Summary of Your Review","Sommario della tua recensione"
"Title","Titolo"
"Type","Tipo"
"Update Status","Aggiorna status"
"View All Reviews","Visualizza tutte le recensioni"
"View Details","Visualizza dettagli"
"Visible In","Visibile In"
"Websites","Website"
"Write Your Own Review","Scrivi la tua recensione"
"You have submitted no reviews.","Non hai inviato nessuna recensione."
"You're reviewing:","Stai recensendo:"
"Your Rating:","Il tuo voto:"
"Your Review (submitted on %s):","La tua recensione (inviata il %s):"
