"Add Your Review","Thêm nhận xét của bạn"
"Administrator","Người quản lý"
"All Reviews","Tất cả đánh giá"
"Allow Guests to Write Reviews","Cho phép khách viết đánh giá"
"Approved","Chấp thuận"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Are you sure?","Bạn chắc chứ?"
"Average Customer Rating","Trung bình khách hàng đánh giá"
"Average Customer Rating:","Trung bình khách hàng đánh giá:"
"Back","Trở lại"
"Back to Main Product Info","Quay lại thông tin sản phẩm chính"
"Back to My Reviews","Quay lại đánh giá của tôi"
"Back to Product Reviews","Quay lại đánh giá sản phẩm"
"Be the first to review this product","Là người đầu tiên để xem xét sản phẩm này"
"Created On","Tạo vào"
"Customer","Khách hàng"
"Customer Reviews","Khách hàng đánh giá"
"Customers Reviews","Khách hàng đánh giá"
"Delete","Xóa bỏ"
"Delete Review","Xóa đánh giá"
"Detailed Rating","Đánh giá chi tiết"
"Guest","Khách"
"Manage Ratings","Quản lý các xếp hạng"
"My Product Reviews","Đánh giá sản phẩm của tôi"
"My Recent Reviews","Đánh giá gần đây của tôi"
"Name","Tên"
"New Review","Đánh giá mới"
"Nickname","Biệt danh"
"Not Approved","Không được chấp thuận"
"Pending","Đợi duyệt"
"Pending Reviews","Chờ đánh giá"
"Price","Giá"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Product Rating","Đánh giá sản phẩm"
"Product Rating:","Xếp hạng sản phẩm:"
"Product Reviews","Đánh giá sản phẩm"
"Products Reviews","Đánh giá sản phẩm"
"Qty","Số lượng"
"Review","Đánh giá"
"Review Details","Xem chi tiết"
"Reviews","Các đánh giá"
"SKU","MÃ SẢN PHẨM"
"Save Review","Lưu nhận xét"
"Status","Trạng thái"
"Submit Review","Gửi đánh giá"
"Summary Rating","Tóm tắt đánh giá"
"Summary of Review","Bản tóm tắt của bài đánh giá"
"Title","Tiêu đề"
"Type","Loại"
"Update Status","Cập Nhật Trạng Thái"
"View Details","Xem chi tiết"
"Websites","Các trang web"
"Write Your Own Review","Viết nhận xét của riêng bạn"
"You have submitted no reviews.","Bạn đã gửi đánh giá."
"You're reviewing:","Bạn đang đánh giá:"
