"Backorders","backorders"
"Enable Qty Increments","क्यूटी इंक्रीमेंट को सक्षम करें"
"In Stock","स्टॉक में"
"Inventory","इन्वेंटरी"
"Manage Stock","स्टॉक प्रबंधित करें"
"Maximum Qty Allowed in Shopping Cart","शॉपिंग कार्ट में अधिकतम अनुमति दी गई"
"Minimum Qty Allowed in Shopping Cart","खरीदारी की टोकरी में न्यूनतम मात्रा"
"Notify for Quantity Below","नीचे मात्रा के लिए सूचित करें"
"Out of Stock","स्टॉक ख़त्म"
"Product Name","उत्पाद का नाम"
"Qty","मात्रा"
"Qty Increments","मात्रा वृद्धि"
"The stock item for Product in option is not valid.","विकल्प में उत्पाद के लिए स्टॉक आइटम मांय नहीं है ।"
"Update","अपडेट करें"
