"1 star","1 zvaigzne"
"2 stars","2 zvaigznes"
"3 stars","3 zvaigznes"
"4 stars","4 zvaigznes"
"5 stars","5 zvaigznes"
"Add New Rating","Pievienot jaunu vērtējumu"
"Assigned Options","Pieškirtās opcijas"
"Be the first to review this product","Uzraksti pirmais atsauksmi par šo produktu"
"Default Value","Noklusētā vērtība"
"Delete Rating","Nodzēst vērtējumu"
"New Rating","Jauns vērtējums"
"Option Title","Opcijas nosaukums"
"Option Title:","Opcijas nosaukums:"
"Rating Information","Vērtējuma informācija"
"Rating Title","Vērtējuma nosaukums"
"Rating Visibility","Vērtējuma redzamība"
"Rating isn't Available","Vērtējums nav pieejams"
"Save Rating","Saglabāt vērtējumu"
"Sort Order","Kārtošanas secība"
"Visible In","Redzams"
