"-- Please select --","-- Por favor, seleccione --"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country and Format Type combination should be unique","A combinación do país e do tipo de formato deben ser únicas"
"Currency","Moeda"
"Currency Options","Opcións de moeda"
"Currency Setup","Configuración de moeda"
"Currency Update Warnings","Avisos de actualización de moeda"
"Directory","Directorio"
"Enabled","Activado"
"Error Email Recipient","Destinatario do correo de erro"
"Error Email Sender","Remitente do correo de erro"
"Error Email Template","Modelo de correo de erro"
"FATAL ERROR:","ERRO MOI GRAVE:"
"Frequency","Frecuencia"
"Installed Currencies","Moedas instaladas"
"Invalid country code: %s","O código do país non é válido: %s"
"Invalid rates received","As taxas recibidas non son válidas"
"List of countries","Lista de países"
"List of regions in specified country","Lista de rexións do país seleccionado"
"Region","Rexión"
"Scheduled Import Settings","Configuracións de importación programadas"
"Select Your Currency","Seleccione a súa moeda"
"Service","Servizo"
"Start Time","Hora de inicio"
"State/Province","Provincia/Estado"
"Strikeiron Email Update Warnings","Avisos de actualización de correo Strikeiron"
"WARNING:","AVISO:"
"Your current currency is: %s","A súa moeda actual é: %s"
