"-- Please select --","-- Por favor, seleccione --"
"API Key","Clave API"
"Allowed Currencies","Divisas permitidas"
"An invalid base currency has been entered.","Se ha introducido una moneda base no válida."
"Base Currency","Moneda base"
"Connection Timeout in Seconds","Plazo de expiración de la conexión en segundos"
"Continue &raquo;"," Continuar &raquo;"
"Country","País"
"Country and Format Type combination should be unique","La combinación de tipo de formato y país debe ser única"
"Currency","Moneda"
"Currency Options","Opciones de monedas"
"Currency Setup","Configuración de moneda"
"Currency Update Warnings","Avisos de actualización de moneda"
"Currency rates can't be retrieved.","Las tasas de cambio no se pueden recuperar."
"Default Display Currency","Divisa mostrada (preseleccionada)"
"Directory","Directorio"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"FATAL ERROR:","ERROR FATAL:"
"Frequency","Frecuencia"
"Installed Currencies","Divisas instaladas"
"Invalid country code: %s","Código de país inválido: %s"
"Invalid rates received","Tasas recibidas inválidas"
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiones en países específicos"
"No API Key was specified or an invalid API Key was specified.","No se especificó una clave de API o se especificó una clave de API no válida."
"Region","Región"
"Scheduled Import Settings","Configuración de la importación programada"
"Select Your Currency","Seleccione su Divisas"
"Service","Servicio"
"Start Time","Hora de inicio"
"State/Province","Estado/provincia"
"Strikeiron Email Update Warnings","Advertencias de actualización de email de Strikeiron"
"The account this API request is coming from is inactive.","La cuenta de la que proviene esta solicitud de API está inactiva."
"WARNING:","ADVERTENCIA:"
"Your current currency is: %s","Su tipo de divisas actual es: %s"
