"Abandoned Carts","Заброшенные корзины"
"Abandoned carts","Заброшенные корзины"
"Action","Действие"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить в сравнение"
"Add to Wishlist","Добавить в Список желаний"
"Any","Любой"
"Applied Coupon","Применяемый купон"
"Are you sure?","Вы уверены?"
"Bestsellers","Лидеры продаж"
"Bought from wishlists","Куплено из листов пожеланий"
"CSV","CSV (разделитель - запятые)"
"Carts","В корзине"
"Compared Products Grid Template","Шаблон ""Сетка"" по сравнению продуктов"
"Compared Products List Template","По сравнению шаблон списка продуктов"
"Coupons","Купоны"
"Created At","Создано в"
"Customer","Клиент"
"Customer Name","Имя клиента"
"Customer Tags","Метки клиента"
"Customers","Покупатели"
"Customers Report","Отчёт о клиентах"
"Customers Reviews","Отзывы клиентов"
"Customers Tags","Метки клиентов"
"Customers by number of orders","Пользователи по количеству заказов"
"Customers by orders total","Пользователи по сумме заказов"
"Customers that have wishlist: %s%","Клиенты, у которых есть листы пожеланий: %s%"
"Dashboard","Панель управления"
"Day","День"
"Description","Описание"
"Detail","Детали"
"Downloads","Загрузки"
"Email","Электронная почта"
"Filter","Фильтр"
"First Name","Имя"
"From","от"
"General","Общие"
"Guest","Гость"
"Hits","Посещения"
"ID","Идентификатор"
"IP Address","IP-адрес"
"Invoiced","Выставлен счет"
"Items in Cart","Позиций(и) в корзине"
"Last Name","Фамилия"
"Last Review","Последний отзыв"
"Link","Ссылка"
"List of Products Recently Viewed by Visitor","Список товаров, недавно просматривал посетитель"
"Low stock","Малое количество в наличии"
"Month","Месяц"
"Most Viewed","Наиболее просматриваемые"
"Name","Название"
"New Accounts","Новые учетные записи"
"No","Нет"
"Number Added","Количество добавленных"
"Number Fulfilled","Количество выполненных"
"Number Of Reviews","Количество отзывов"
"Number Purchased","Количество приобретений"
"Number Viewed","Количество просмотренных"
"Number of Items","Количество товаров"
"Number of New Accounts","Количество новых учётных записей"
"Number of Products to display","Количество товаров для отображения"
"Number of Reviews","Количество отзывов"
"Number of Total Tags","Общее количество меток"
"Number of Unique Tags","Количество уникальных меток"
"Number of Views","Число просмотров"
"Number of items bought from a wishlist: %s","Количество товаров, купленных из листа пожеланий: %s"
"Number of times wishlists have been shared (emailed): %s","Количество раз, когда листы пожеланий были отправлены по email: %s"
"Number of wishlist conversions: %s","Количество переходов из листа пожеланий: %s"
"Number of wishlist referrals: %s","Количество рефералов полученных с помощью листа пожеланий: %s"
"Number of wishlists: %s","Количество листов пожеланий: %s"
"Order Status","Статус заказа"
"Orders","Заказы"
"Out of stock","Нет в наличии"
"Period","Период"
"Poducts Report","Отчёт о товарах"
"Popular Tags","Популярные метки"
"Popularity","Популярность"
"Price","Цена"
"Product Name","Название товара"
"Product Reviews","Обзор товара"
"Product SKU","Артикул товара"
"Product Tags","Метки товара"
"Products","Товары"
"Products Report","Отчет о товарах"
"Products Reviews","Отзывы о товарах"
"Products Tags","Метки товаров"
"Products in carts","Товары в корзинах"
"Purchases","Приобретения"
"Quantity Ordered","Заказанное кол-во"
"Quantity of Items","Кол-во товаров"
"Recently Compared","Недавно по сравнению"
"Recently Compared Products","Недавно по сравнению продуктов"
"Recently Viewed","Недавно просмотренные"
"Recently Viewed Products","Недавно просмотренные товары"
"Recently Viewed/Compared Products","Недавно Просмотрели по сравнению продуктов"
"Refresh Statistics","Обновить статистику"
"Refunds","Возвраты"
"Report","Отчёт"
"Reports","Отчеты"
"Results","Результат"
"Revenue","Доход"
"Review","Отзыв"
"Reviews","Отзывы"
"Reviews for %s","Отзывы о %s"
"Sales","Продажи"
"Sales Report","Отчет по продажам"
"Search Query","Поисковый запрос"
"Search Terms","Поисковые запросы"
"Shipping","Доставка"
"Shopping Cart","Корзина"
"Shopping Cart Price Rule","Ценовое правило для корзины"
"Show Report","Показать отчет"
"Show for Current","Показать для текущего"
"Statistics","Статистика"
"Stock Qty","Кол-во на складе"
"Submitted In","Принято"
"Submitted On","Отправлено"
"Subtotal","Промежуточный итог"
"Tag","Метка"
"Tag ""%s"" details","Подробности метки ""%s"
"Tag Detail","Подробности метки"
"Tag Name","Название метки"
"Tags submitted to %s","Метки, отправленные для %s"
"Tax","Налог"
"Title","Заголовок"
"To","До"
"Total","Всего"
"Total Tags","Всего меток"
"Total invoiced","Всего платежей"
"Total refunded","Все возвраты"
"Updated At","Обновлено"
"Viewed Products Grid Template","Шаблон ""Сетка"" просмотренные товары"
"Viewed Products List Template","Шаблон списка просмотренные товары"
"Visible In","Отображается в"
"Wishlist Report","Отчет листа пожеланий"
"Wishlist vs. Regular Order","Зависимость списка отмеченных товаров с регулярными заказами"
"Wishlists","Список отмеченных товаров"
"Year","Год"
"Yes","Да"
"Your Recently Compared","Предыдущие сравнения"
"Your Recently Viewed","Вы недавно смотрели"
