"Add Your Review","새로운 리뷰 추가"
"All Reviews","모든 리뷰"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Are you sure?","확실합니까?"
"Back","이전"
"Back to My Reviews","상품 리뷰로 돌아가기"
"Back to Product Reviews","제품 리뷰로 돌아가기"
"Be the first to review this product","제일 먼저 이 제품을 평가해보세요!"
"Customer","고객"
"Customer Reviews","고객 리뷰"
"Customers Reviews","고객 리뷰"
"Delete","삭제"
"Delete Review","리뷰 삭제"
"Guest","비회원"
"My Product Reviews","상품 리뷰"
"My Recent Reviews","최근 상품 리뷰"
"Name","이름 "
"New Review","상품평 추가"
"Nickname","닉네임"
"Pending","보류 중"
"Pending Reviews","보류 중인 리뷰"
"Price","가격"
"Product","상품"
"Product Name","상품명"
"Product Reviews","상품 리뷰"
"Products Reviews","상품 리뷰"
"Qty","수량"
"Review","리뷰"
"Reviews","리뷰"
"Save Review","리뷰 저장"
"Status","상태"
"Submit Review","리뷰 제출"
"Summary of Review","리뷰 제목"
"Title","타이틀"
"Type","타입"
"View Details","자세히 보기"
"Websites","웹사이트"
"Write Your Own Review","직접 리뷰를 작성해보세요"
"You have submitted no reviews.","작성하신 상품 리뷰가 없습니다."
"You're reviewing:","이 상품에 관한 리뷰를 작성하고 있습니다:"
