"Add Minimum Qty","En az Miktarda Ekle"
"Allow Qty Below 0","Sıfırın altındaki miktara izin ver"
"Allow Qty Below 0 and Notify Customer","Sıfırın altındaki miktara izin ver ve müşteriye bildir"
"Automatically Return Credit Memo Item to Stock","İade Kaydı oluşturulan Ürünü Stoğa Otomatik Geri Yükle"
"Backorders","Ön Siparişler"
"By Fixed value","Sabit değer ile"
"By Percentage","Yüzdeyle"
"Catalog Inventory","Katalog Envanteri"
"Decrease Stock When Order is Placed","Sipariş verildiğinde stoğu düşür"
"Display Out of Stock Products","Stokta mevcut olmayan ürünleri göster"
"Enable Qty Increments","Miktar Arttırımını Aktif et"
"In Stock","stokta mevcut"
"Inventory","Envanter"
"Inventory API","Envanter API si"
"Manage Stock","Stok Yönetimi"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Minimum Qty","En az Adet"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"No Backorders","Ön sipariş kabul edilmez"
"Notify for Quantity Below","Miktar Aşağısını Bildir"
"Only X left Threshold","Sadece X adet kaldı Uyarısı"
"Out of Stock","Stok mevcut değil"
"Product Name","Ürün Adı"
"Product Stock Options","Ürün Stok Seçenekleri"
"Products will still be shown by direct product URLs.","Ürünler, direkt ürün URL leri ile gösterilecektir."
"Qty","Miktar"
"Qty Increments","Miktar Arttırımı"
"Retrieve stock data","Stok bilgisi al"
"Retrieve stock data by product ids","Ürün numaralarına göre stok bilgisi al"
"Rule price","Kural fiyatı"
"Set Items' Status to be In Stock When Order is Cancelled","Sipariş iptal edildiğinde ürünü iade al ve Stokta göster"
"Stock Options","Stok Seçenekleri"
"Stock Status","Stok Durumu"
"The maximum quantity allowed for purchase is %s.","Ürün için izin verilen en az sipariş adedi : %s. "
"The minimum quantity allowed for purchase is %s.","Ürün için izin verilen en çok sipariş adedi : %s."
"The requested quantity for ""%s"" is not available.","""%s"" adlı ürün için talep ettiğiniz miktar stokta bulunmamaktadır."
"The stock item for Product in option is not valid.","Seçenekteki ürün için stok geçerli değildir."
"This product is currently out of stock.","Ürün stokta yok."
"To Fixed Value","Sabit Değere"
"To Percentage","Yüzde için"
"Update","Güncelle"
"Update product stock data","Ürün stok verisini güncelle"
"Update the Product","Ürünü Güncelle"
