"API Password","API parole"
"Address","Adrese"
"Advanced Settings","Papildu iestatījumi"
"Allowed Credit Card Types","Atļautie kredītkaršu veidi"
"Also affects mini-shopping cart.","Iespaido arī mini grozu."
"Billing Information","Rēķina sagatavošana"
"City","Pilsēta"
"Close","Aizvērt"
"Company","Kompānija"
"Configure","Konfigurēt"
"Continue","Turpināt"
"Country","Valsts"
"Credit","Kredīts"
"Custom","Pielāgots"
"Daily","Katru dienu"
"Discount","Atlaide"
"Display on Product Details Page","Produkta informācija"
"Display on Shopping Cart","Rādīt iepirkumu grozā"
"Dynamic","Dinamisks"
"Edit","Labot"
"Email Address","E-pasta adrese"
"Enable this Solution","Ieslēgt šo risinājumu"
"Enabled","Ieslēgts"
"Fax","Fakss"
"Help","Palīdzība"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Jā opcija ir iespējota, klients var mainīt piegādes adresi un piegādes metodi Paypal tīkla lapā. Produkcijas režīmā darbojas tikai caur Https protokolu."
"It is recommended to set this value to ""PayPal"" per store views.","Ieteicams ieslēgt šo vērtību uz ""PayPal"" katra veikala skatā."
"Learn More","Uzzināt vairāk"
"Login","Lietotājvārds"
"Never","Nekad"
"No","Nē"
"Order","Pasūtījums"
"Order ID","Pasūtījuma ID"
"Password","Parole"
"Payment Action","Maksājuma darbība"
"Payment Method","Apmaksas veids"
"Place Order","Veikt pasūtījumu"
"Please agree to all the terms and conditions before placing the order.","Lai veiktu pirkumu, jums jāpiekrīt visiem noteikumiem."
"Please select a shipping method...","Lūdzu, izvēlaties piegādes metodi..."
"Please select region, state or province","Izvēlieties reģionu, štatu vai novadu"
"Position","Pozīcija"
"Price","Cena"
"Product","Produkts"
"Product Name","Produkta nosaukums"
"Qty","Skaits"
"Reports","Atskaites"
"Require Customer's Billing Address","Pieprasīt klienta norēķinu adresi"
"Review Order","Pārskatīt pasūtījumu"
"Sale","Pārdošana"
"Sales","Pārdošana"
"Schedule","Grafiks"
"Shipping","Piegāde"
"Shipping Address","Piegādes adreses"
"Shipping Information","Piegādes informācija"
"Shipping Method","Piegādes veids"
"Size","Izmērs"
"Sorry, no quotes are available for this order at this time.","Atvainojiet, šobrīd pasūtījumam nav pieejamas kvotas."
"Sort Order","Kārtošanas secība"
"State/Province","Štats/Province"
"Static","Statisks"
"Street Address","Adrese"
"Submitting order information...","Pasūtījuma informācijas nosūtīšana..."
"Subtotal","Starpsumma"
"Telephone","Tālrunis"
"Test Mode","Testa režīms"
"There was an error processing your order. Please contact us or try again later.","Notikusi kļūme apstrādājot Jūsu pasūtījumu. Lūdzu kontaktējaties ar mums vai mēģiniet vēlreiz vēlāk."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Šai funkcijai jābūt ieslēgtai PayPal pārdevēja kontā. To jāveic PayPal tehniskajā atbalstā."
"Title","Nosaukums"
"Transaction ID","Transakcijas ID"
"User","Lietotājs"
"VAT Number","PVN numurs"
"View","Skatīt"
"Yes","Jā"
"Zip/Postal Code","Pasta indekss"
