"Click here not to receive alerts for this product","Клікніть сюди, якщо не бажаєте отримувати оповіщення для цього товару"
"Error Email Recipient","Невірний отримувач Email "
"Error Email Sender","Невірний відправник Email"
"Error Email Template","Невірний шаблон Email"
"Frequency","Частота"
"Price:","Ціна:"
"Product Alerts","Товарні оповіщення"
"Product Alerts Run Settings","Оповіщення для товарів: налаштування виконання"
"Product alerts Cron error","Оповіщення для товарів: помилка в Cron-і "
"Product price alert","Оповіщення про ціну товару"
"Product stock alert","Оповіщення про наявність товару на складі"
"Regular Price:","Звичайна ціна:"
"Sign up for price alert","Підписатись на оповіщення про ціну товару"
"Sign up to get notified when this product is back in stock","Підпишіться для отримання повідомлення, коли цей продукт знову поступить на склад"
"Special price:","Спеціальна ціна:"
"Start Time","Час початку"
"Unsubscribe from all price alerts","Відмінити підписку на всі оповіщення ціни товарів"
"Unsubscribe from all stock alerts","Відмінити підписку на всі оповіщення наявності товару на складі"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Ви отримали це повідомлення через те, що ви підписались на отримання оповіщення про появу наступних товарів на складі :"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Ви отримали це повідомлення через те, що ви підписались на отримання оповіщення про зміну ціни на наступних товари:"
