"* Required Fields","* Obavezna polja"
"ALL GROUPS","SVE GRUPE"
"Account Dashboard","Nadzorna ploča Profila"
"Account Information","Informacije o korisničkom računu"
"Action","Akcija"
"Add New Address","Dodaj novu adresu"
"Add New Customer","Dodaj novog kupca"
"Add New Customer Group","Dodaj novu grupu kupaca"
"Added From","Dodano iz"
"Additional Address Entries","Dodatne adrese"
"Address","Adresa"
"Address Book","Adreasar"
"Address Information","Podaci o adresi"
"Addresses","Adrese"
"All","Sve"
"All Store Views","Svi izlozi"
"All countries","Sve države"
"Approved","Odobreno"
"Are you sure that you want to remove this item?","Jeste li sigurni da želite obrisati taj artikl?"
"Are you sure you want to cancel adding of this address?","Jeste li sigurni da želite odustati od dodavanja ove adrese?"
"Are you sure you want to delete this address?","Jeste li sigurni da želite obrisatu tu adresu?"
"Are you sure?","Jeste li sigurni?"
"Average Sale","Prosječna prodaja"
"Back","Natrag"
"Back to Login","Nazad na Prijavu"
"Bought From","Kupljeno od"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Kreiranjem profila na našem webshopu moći ćete kupovati brže i jednostavnije, spremati podatke o adresama isporuke, pregledavati i pratiti vaše narudžbe i još puno toga."
"Cancel","Poništi"
"Change Account Password","Promijeni lozinku korisničkog računa"
"Change Billing Address","Promijeni adresu na računu"
"Change Password","Promijenite lozinku"
"Change Shipping Address","Promijenite podatke o adresi isporuke"
"City","Grad"
"Company","Poduzeće"
"Configure","Konfiguriraj"
"Confirm New Password","Potvrdite novu lozinku"
"Confirm Password","Potvrdi lozinku"
"Contact Information","Informacije "
"Continue Shopping","Nastavi kupnju"
"Country","Država"
"Create","Kreiraj"
"Create New Account Options","Opcije kreiranja novog korisničkog računa"
"Create New Customer Account","Kreirajte novi korisnički račun"
"Create Order","Kreiraj narudžbu"
"Create an Account","Kreirajte korisnički račun"
"Current Password","Trenutna lozinka"
"Customer","Kupac"
"Customer Addresses","Adrese kupca"
"Customer Configuration","Konfiguracije kupca"
"Customer Group","Grupa kupaca"
"Customer Groups","Grupe korisnika"
"Customer Information","Podaci o korisnika"
"Customer Login","Login korisnika"
"Customer Since","Korisnik od"
"Customers","Kupci"
"Customers Only","Samo korisnici"
"Days in Wishlist","Dana u Listi želja"
"Default Addresses","Osnovne adrese"
"Default Billing Address","Osnovne adrese za naplatu"
"Default Email Domain","Osnovna email domena"
"Default Group","Osnovna grupa"
"Default Shipping Address","Osnovna adresa za isporuku"
"Delete","Obriši"
"Delete Address","Obriši adresu"
"Delete Customer","Obriši korisnika"
"Delete Customer Group","Obriši grupu korisnika"
"Deleted Stores","Obriši trgovine"
"Disabled","Isključen"
"Edit","Uredi"
"Edit Account Information","Promijeni podatke o korisničkom računu"
"Edit Address","Promijeni adresu "
"Edit Address Entry","Promijeni adresu"
"Edit Customer Group ""%s""","Promijeni grupu korisnika ""%s"""
"Edit Customer Groups","Promijeni grupe korisnika"
"Edit Customer's Address","Promijeni adresu korisnika"
"Edit Group","Promijeni grupu"
"Edit Newsletters","Ažuriraj newsletter"
"Email","email"
"Email Address","Adresa elektroničke pošte"
"Email Sender","Email pošiljatelj"
"Email:","e-mail:"
"Fax","Faks"
"First Name","Ime"
"Forgot Your Password?","Zaboravili ste lozinku?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Na nadzornoj ploči vašeg profila možete vidjeti snimku vaših aktivnosti na websiteu te mogućnost da ažurirate vaše podatke. Odaberite link za pregled aktivnosti ili ažuriranje podataka."
"General Subscription","Opća pretplata na newsletter"
"Group","Grupa"
"Group Information","Podaci o grupi"
"Group Name","Naziv grupe"
"Guest","Gost"
"Hello, %s!","Dobrodošli, %s!"
"IP Address","IP adresa"
"If you have an account with us, please log in.","Ako kod nas imate korisnički račun, molim ulogirajte se."
"Invalid current password","Trenutna lozinka nije ispravna"
"Invalid customer data","Podaci o kupcu su neispravni"
"Last Activity","Zadnje aktivnosti"
"Last Name","Prezime"
"Lifetime Sales","Sveukupna prodaja"
"Log In","Logirajte se"
"Log Out","Odjavi se"
"Login","Prijava"
"Login Information","Podaci za logiranje"
"Login or Create an Account","Logirajte se ili kreirajte korisnički račun"
