"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Admin","පරිපාලක"
"Authorize","අවසරලත්"
"Callback URL","ආපසු ඇමතුම් URL"
"Cleanup Probability","පිරිසිදු කිරීමේ සම්භාවිතාව"
"Cleanup Settings","පිරිසිදු කිරීමේ සැකසුම්"
"Close","වසන්න"
"Created At","දී නිර්මාණය කරන ලදී"
"Customer","පාරිභෝගික"
"Delete","මකන්න"
"Disable","අක්රිය කරන්න"
"Disabled","ආබාධිතයි"
"Edit","සංස්කරණය කරන්න"
"Email","විද්යුත් තැපෑල"
"Email Address","විද්යුත් තැපැල් ලිපිනය"
"Enable","සබල කරන්න"
"Enabled","සබල කර ඇත"
"Expiration Period","කල් ඉකුත් වීමේ කාලය"
"ID","හැඳුනුම්පත"
"Invalid Callback URL","අවලංගු ආපසු ඇමතුම් URL"
"Invalid Rejected Callback URL","අවලංගු ප්‍රතික්ෂේප කළ ආපසු ඇමතුම් URL"
"Key","යතුර"
"Login","ඇතුල් වන්න"
"Name","නම"
"Password","මුරපදය"
"Permissions","අවසර"
"Role Name","භූමිකාවේ නම"
"Save","සුරකින්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Status","තත්ත්වය"
"System","පද්ධතිය"
"User ID","පරිශීලක ID"
"User Name","පරිශීලක නාමය"
"deleted","මකා දමන ලදී"
