" Copy"," Kopēt"
"Action","Darbība"
"Add New Template","Pievienot jaunu šablonu"
"Add to Queue","Pievienot rindai"
"Allow Guest Subscription","Atļaut viesu pierakstīšanos"
"Are you sure that you want to strip all tags?","Vai tiešām vēlaties noņemt visus tagus?"
"Back","Atpakaļ"
"Cancel","Atcelt"
"Cancelled","Atcelts"
"Confirmation Email Sender","Apstiprinājuma e-pasta sūtītājs"
"Confirmation Email Template","Apstiprinājuma e-pasta šablons"
"Convert to Plain Text","Konvertēt par tekstu"
"Create Newsletter Template","Izveidot jaunumu ziņas šablonu"
"Customer","Klients"
"Customer First Name","Klienta vārds"
"Customer Last Name","Klienta uzvārds"
"Date Added","Pievienošanas datums"
"Date Updated","Papildināta"
"Delete","Dzēst"
"Delete Selected Problems","Dzēst atlasītās problēmas"
"Delete Template","Dzēst šablonu"
"Do you really want to cancel the queue?","Vai tiešām vēlaties atcelt rindu?"
"Edit Newsletter","Labot jaunumu ziņu"
"Edit Newsletter Template","Labot janumu ziņas šablonu"
"Edit Queue","Labot sūtījumu rindu"
"Edit Template","Labot šablonu"
"Email","E-pasts"
"Enter your email address","Ievadi savu e-pasta adresi"
"Error Code","Kļūdas kods"
"Error Text","Kļūdas teksts"
"Guest","Viesis"
"Message","Ziņa"
"Need to Confirm","Nepieciešama apstiprināšana"
"New Newsletter Template","Jauns ziņu šablons"
"New Template","Jauns šablons"
"Newsletter","Jaunumi"
"Newsletter Message Preview","Jaunumu ziņas priekšskats"
"Newsletter Problem Reports","Jaunumu ziņu problēmu atskaite"
"Newsletter Queue","Jaunumu izsūtīšanas rinda"
"Newsletter Section","Jaunumu sadaļa"
"Newsletter Styles","Jaunumu stili"
"Newsletter Subscribers","Jaunumu abonenti"
"Newsletter Subscription","Jaunumu pierakstīšanās"
"Newsletter Subscriptions","Jaunumu pieraksti"
"Newsletter Templates","Jaunumu šabloni"
"Newsletter subscription success","Biļetens abonēts"
"No Templates Found","Nav atrasti šabloni"
"Not Activated","Nav aktivizēts"
"Not Sent","Nav nosūtīts"
"Pause","Pauze"
"Paused","Apturēts"
"Please enter a valid email address.","Ievadiet derīgu e-pasta adresi."
"Preview","Priekšskatītījums"
"Preview Template","Šablona priekšskatījums"
"Processed","Apstrādātas"
"Queue Date Start","Rindas sākuma datums"
"Queue Finish","Beigts apstrādāt"
"Queue Information","Rindas informācija"
"Queue Start","Rindas sākums"
"Queue Subject","Rindas nosaukums"
"Recipients","Saņēmēji"
"Reset","Notīrīt"
"Resume","Atsākt"
"Return HTML Version","Atgriezt HTML versiju"
"Save As","Saglabāt kā"
"Save Newsletter","Saglabāt jaunumu ziņu"
"Save Template","Saglabāt šablonu"
"Save and Resume","Saglabāt un turpināt"
"Sender","Sūtītājs"
"Sender Email","Sūtītāja e-pasta adrese"
"Sender Name","Sūtītāja vārds"
"Sending","Sūta"
"Sent","Nosūtīts"
"Sign Up for Our Newsletter:","Pieteikties jaunumu saņemšanai:"
"Sign up for our newsletter","Abonēt mūsu biļetenu"
"Start","Sākt"
"Status","Statuss"
"Store","Veikals"
"Store View","Veikala skats"
"Subject","Tēma"
"Submit","Iesniegt"
"Subscribe","Pierakstīties"
"Subscribed","Pierakstījies"
"Subscriber","Abonents"
"Subscribers","Abonenti"
"Subscribers From","Abonenti no"
"Subscription Options","Pierakstīšanās opcijas"
"Success Email Sender","Veiksmīgi e-pasta sūtītājs"
"Success Email Template","Veiksmīgi e-pasta šablons"
"Template Content","Šablona saturs"
"Template Information","Šablona informācija"
"Template Name","Šablona nosaukums"
"Template Styles","Šablona stili"
"Template Subject","Šablona tēma"
"Template Type","Šablona veids"
"Thank you for your subscription.","Pateicamies par pierakstīšanos jaunumiem."
"This email address is already assigned to another user.","Šī e-pasta adrese jau ir citam lietotājam."
"Type","Veids"
"Unconfirmed","Neapstiprināts"
"Unsubscribe","Atrakstīties"
"Unsubscribe Selected","Atrakstīt izvēlētos"
"Unsubscribed","Atrakstīts"
"Unsubscription Email Sender","Atrakstīšanās vēstules sūtītāja e-pasts"
"Unsubscription Email Template","Atrakstīšanās vēstules šablons"
"View Newsletter","Apskatīt jaunumu ziņu"
"Website","Mājas lapa"
"Your subscription has been confirmed.","Jūsu atrakstīšanās tika apstiprināta."
