"2nd Day Air","هوایی روز دوم"
"2nd Day Air AM","هوایی صبح روز دوم"
"3 Day Select","3 روز را انتخاب کنید"
"Allowed Methods","روش‌ های مجاز"
"Commercial","تجاری"
"Debug","اشکال زدايي کردن"
"Enable","فعال"
"Free Shipping","ارسال رایگان"
"Google API","API گوگل"
"Ground","زمین"
"Home Delivery","تحویل درب منزل"
"Inches","اینچ"
"Location","موقعیت"
"Media Mail","پست رسانه‌ای"
"Merchant ID","شناسه‌ فروشنده"
"Method","روش"
"New Order Status","وضعيت سفارش جديد"
"Next Day Air","روز بعد هوایی"
"Next Day Air Early AM","روز بعد هوایی ابتدای صبح"
"Next Day Air Saver","روز بعد هوایی سیور"
"No","خیر"
"Priority Mail","اولویت پستی"
"Residential","محلی"
"Title","عنوان"
"Yes","بله"
