"* Required Fields","* Påkrævede felter"
"ALL GROUPS","ALLE GRUPPER"
"Account Dashboard","Kontooversigt"
"Account Information","Konto Information"
"Account Sharing Options","Indstillinger For Kontodeling"
"Action","Handling"
"Add New Address","Tilføj ny adresse"
"Add New Customer","Opret ny kunde"
"Add New Customer Group","Tilføje nye kundegruppe"
"Added From","Tilføjet fra"
"Additional Address Entries","Yderligere adresser"
"Address","Adresse"
"Address Book","Adresser"
"Address Information","Adresseoplysninger"
"Address Templates","Adresse Skabeloner"
"Addresses","Adresser"
"Admin","Administrator"
"All","Alle"
"All Store Views","Alle butiks visninger"
"All countries","Alle lande"
"Always optional.","Altid valgfri."
"Amount","Beløb"
"Approved","Godkendt"
"Are you sure that you want to remove this item?","Er du sikker på, at du ønsker at fjerne dette?"
"Are you sure you want to cancel adding of this address?","Er du sikker på, at du vil annullere tilføjelsen af adressen?"
"Are you sure you want to delete this address?","Er du sikker på, at du vil slette denne adresse?"
"Are you sure?","Er du sikker?"
"Assign a Customer Group","Tildel en kundegruppe"
"Average Sale","Gennemsnitlig Salg"
"Back","Tilbage"
"Back to Login","Tilbage til Log ind"
"Bad request.","Ugyldig forespørgsel."
"Bill to Name","Faktureringsnavn"
"Bought From","Købt i"
"By Email","Via E-mail"
"By IP","Efter IP"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved at oprette en konto i vores shop, vil du være i stand til at <br>(1) gennemføre dine køb meget hurtigere<br>(2) gemme flere leveringsadresser<br>(3) se og spore dine ordrer på din konto og meget mere."
"Cancel","Annuller"
"Change Account Password","Rediger kodeord for konto"
"Change Billing Address","Skift faktureringsadresse"
"Change Password","Skift kodeord"
"Change Shipping Address","Skift forsendelsesadresse"
"City","By"
"Company","Firma"
"Config","Konfiguration"
"Configure","Konfigurer"
"Confirm New Password","Bekræft ny adgangskode"
"Confirm Password","Bekræft kodeord"
"Confirmation Link Email","Bekræftelse Link E-Mail"
"Confirmed","Bekræftet"
"Contact Information","Kontaktinformation"
"Continue Shopping","Fortsæt med at shoppe"
"Country","Land"
"Create","Opret"
"Create New Account Options","Opret Nye Kontoindstillinger"
"Create New Customer Account","Opret ny kundekonto"
"Create Order","Opret ordre"
"Create an Account","Opret en konto"
"Create customer","Opret kunde"
"Create customer address","Opret kundeadresse"
"Current Password","Nuværende adgangskode"
"Customer","Kunde"
